wikidata_id,name,country,latitude,longitude,website,founded,area_ha,wikidata_url,source
Q2689422,Tasmanian Bushland Garden,Australia,-42.6078,147.717,,,,http://www.wikidata.org/entity/Q2689422,Wikidata
Q2859691,Arboretum Gaston Allard,France,47.451,-0.5425,,,,http://www.wikidata.org/entity/Q2859691,Wikidata
Q2834322,Serres municipales de Sens,France,48.1858,3.279,,,,http://www.wikidata.org/entity/Q2834322,Wikidata
Q2859703,Arboretum de Balaine,France,46.697,3.2464,http://www.arboretum-balaine.com/,1804-01-01,,http://www.wikidata.org/entity/Q2859703,Wikidata
Q2859711,Arboretum de la Fosse,France,47.776436,0.846462,https://www.arboretumdelafosse.com/en,,,http://www.wikidata.org/entity/Q2859711,Wikidata
Q2859705,Arboretum de La Roche-Guyon,France,49.09888889,1.63972222,,,,http://www.wikidata.org/entity/Q2859705,Wikidata
Q2859716,Arboretum de la Vallée-aux-Loups,France,48.77165,2.27049,http://maison-de-chateaubriand.hauts-de-seine.net/web/chateaubriand/le-parc-de-la-maison-de-chateaubriand,,,http://www.wikidata.org/entity/Q2859716,Wikidata
Q2744187,Allerton Garden,United States,21.88567,-159.49283,,1986-01-01,,http://www.wikidata.org/entity/Q2744187,Wikidata
Q2894419,Jardin Musée de Limeuil,France,44.88638889,0.88916667,,,,http://www.wikidata.org/entity/Q2894419,Wikidata
Q2896269,Robert Allerton Park,United States,39.998,-88.65,,,,http://www.wikidata.org/entity/Q2896269,Wikidata
Q2919730,Chicago Botanic Garden,United States,42.148333333,-87.79,https://www.chicagobotanic.org/,1972-01-01,,http://www.wikidata.org/entity/Q2919730,Wikidata
Q2836812,Orto Botanico Comunale di Lucca,Italy,43.84144722,10.51143056,http://www.operadellemura.it/parcodellemura/botanico_presentazione.asp,1820-01-01,,http://www.wikidata.org/entity/Q2836812,Wikidata
Q2859719,Arboretum du Sarroudier,France,43.7755,7.4755,,,,http://www.wikidata.org/entity/Q2859719,Wikidata
Q2859688,Q2859688,France,48.424409,0.076636,,,,http://www.wikidata.org/entity/Q2859688,Wikidata
Q2859692,Arboretum Robert Ruffier-Lanche,France,45.194167,5.777778,,,,http://www.wikidata.org/entity/Q2859692,Wikidata
